idx,n_callers,top_caller_funcs
0x00,0,""
0x01,28,"pa_get_ptd:9;sptm_get_frame_type:7;ml_set_interrupts_enabled_with_debug:3;pmap_ref_iommu_table:2"
0x02,9,"pa_get_ptd:4;pmap_set_shared_region:2;sptm_get_frame_type:1;pmap_map_bd_with_options:1"
0x03,3,"sptm_get_frame_type:1;pa_get_ptd:1;kvtophys_nofail:1"
0x04,3,"pa_get_ptd:3"
0x05,11,"pmap_set_shared_region:8;pmap_unnest_options_internal:2;pa_get_ptd:1"
0x06,5,"pa_get_ptd:5"
0x07,3,"pa_get_ptd:1;pmap_set_shared_region:1;ml_set_interrupts_enabled_with_debug:1"
0x08,1,"pa_get_ptd:1"
0x09,1,"pmap_set_shared_region:1"
0x0a,1,"pmap_unnest_options_internal:1"
0x0b,2,"pmap_set_shared_region:1;pmap_unnest_options_internal:1"
0x0c,7,"vm_shared_region_auth_remap:2;pmap_trim_internal:1"
0x0d,1,"pmap_switch_internal:1"
0x0e,1,"kvtophys_nofail:1"
0x0f,0,""
0x10,1,"pmap_set_shared_region:1"
0x11,1,"pmap_set_shared_region:1"
0x12,1,"arm_init:1"
0x13,1,"arm_init:1"
0x14,5,"ml_set_interrupts_enabled_with_debug:5"
0x15,13,"pa_get_ptd:7;pmap_set_shared_region:3;ml_set_interrupts_enabled_with_debug:3"
0x16,0,""
0x17,0,""
0x18,0,""
0x19,0,""
0x1a,0,""
0x1b,0,""
0x1c,0,""
0x1d,0,""
0x1e,1,"uat_get_root_table_paddr:1"
0x1f,1,"IOKit:1"
0x20,1,"IOKit:1"
0x21,1,"arm_init:1"
0x22,0,""
0x23,0,""
0x24,0,""
0x25,0,""
0x26,0,""
0x27,1,"pmap_set_shared_region:1"
0x28,1,"pmap_set_shared_region:1"
0x29,0,""
0x2a,0,""
0x2b,1,"pmap_remove_options_internal:1"
0x2c,1,"pmap_remove_options_internal:1"
0x2d,2,"ml_set_interrupts_enabled_with_debug:2"
0x2e,1,"arm_init:1"
0x2f,0,""
0x30,0,""
0x31,0,""
